"Time","Event",""
"00:31:03.244","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28135)",""
"00:31:03.404","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60303)",""
"00:31:03.641","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29206)",""
"00:31:03.849","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29617)",""
"00:31:09.807","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27407)",""
"00:31:09.932","Blinkladen Arcane Missiles Training Dummy 1 26796",""
"00:31:10.037","Blinkladen Arcane Missiles Training Dummy 1 27592",""
"00:31:10.241","Blinkladen Arcane Missiles Training Dummy 1 26791",""
"00:31:10.474","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 57934)",""
"00:31:10.703","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58148)",""
"00:31:10.926","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27482)",""
"00:31:11.140","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58335)",""
"00:31:38.835","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28481)",""
"00:31:39.037","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28569)",""
"00:31:39.223","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27861)",""
"00:31:39.425","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61179)",""
"00:31:39.641","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27987)",""
"00:31:39.815","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27670)",""
"00:31:40.049","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 26850)",""
"00:31:40.161","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27296)",""
"00:31:53.411","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29077)",""
"00:31:53.522","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62542)",""
"00:31:53.807","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29722)",""
"00:31:54.008","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61239)",""
"00:31:54.189","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28931)",""
"00:31:54.418","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29038)",""
"00:31:54.619","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29289)",""
"00:31:54.821","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61889)",""
"00:32:00.765","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27281)",""
"00:32:00.877","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59089)",""
"00:32:01.030","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27488)",""
"00:32:01.286","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27874)",""
"00:32:01.407","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 26980)",""
"00:32:01.688","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27849)",""
"00:32:01.904","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28329)",""
"00:32:02.037","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27411)",""
"00:32:08.036","Blinkladen Arcane Missiles Training Dummy 1 *61519*",""
"00:32:08.147","Blinkladen Arcane Missiles Training Dummy 1 28703",""
"00:32:08.355","Blinkladen Arcane Missiles Training Dummy 1 *62018*",""
"00:32:08.476","Blinkladen Arcane Missiles Training Dummy 1 *59642*",""
"00:32:08.676","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60088)",""
"00:32:08.890","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28071)",""
"00:32:09.181","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27630)",""
"00:32:09.383","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27599)",""
"00:32:37.195","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29039)",""
"00:32:37.292","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29690)",""
"00:32:37.508","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28633)",""
"00:32:37.696","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60439)",""
"00:32:37.911","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61680)",""
"00:32:38.030","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28367)",""
"00:32:38.251","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28165)",""
"00:32:38.521","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28897)",""
"00:32:51.654","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28549)",""
"00:32:51.856","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27821)",""
"00:32:52.042","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28256)",""
"00:32:52.182","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27985)",""
"00:32:52.459","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27762)",""
"00:32:52.654","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28924)",""
"00:32:52.869","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28280)",""
"00:32:53.037","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60169)",""
"00:33:13.501","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61255)",""
"00:33:13.605","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29417)",""
"00:33:13.807","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60689)",""
"00:33:14.036","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 63011)",""
"00:33:14.300","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61226)",""
"00:33:14.500","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60634)",""
"00:33:14.716","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 30189)",""
"00:33:14.855","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29922)",""
"00:33:42.626","Blinkladen Arcane Missiles Training Dummy 1 *62056*",""
"00:33:42.723","Blinkladen Arcane Missiles Training Dummy 1 *61539*",""
"00:33:43.014","Blinkladen Arcane Missiles Training Dummy 1 29060",""
"00:33:43.196","Blinkladen Arcane Missiles Training Dummy 1 28754",""
"00:33:43.417","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28601)",""
"00:33:43.543","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27861)",""
"00:33:43.833","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28820)",""
"00:33:44.035","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61086)",""
"00:33:50.008","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59122)",""
"00:33:50.111","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27964)",""
"00:33:50.320","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27332)",""
"00:33:50.432","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59025)",""
"00:33:50.697","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27162)",""
"00:33:50.924","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27653)",""
"00:33:51.127","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58832)",""
"00:33:51.299","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27980)",""
"00:34:04.535","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61212)",""
"00:34:04.646","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28969)",""
"00:34:04.799","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28948)",""
"00:34:05.056","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 64753)",""
"00:34:05.196","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62524)",""
"00:34:05.480","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62910)",""
"00:34:05.612","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29308)",""
"00:34:05.870","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29240)",""
"00:34:33.598","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61641)",""
"00:34:33.703","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61411)",""
"00:34:33.931","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29682)",""
"00:34:34.139","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62119)",""
"00:34:34.340","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 63626)",""
"00:34:34.604","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 63628)",""
"00:34:34.737","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62805)",""
"00:34:34.954","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29242)",""
"00:34:40.958","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27041)",""
"00:34:40.959","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27673)",""
