"Time","Event",""
"00:42:19.670","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60489)",""
"00:42:19.782","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28114)",""
"00:42:19.928","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28628)",""
"00:42:20.198","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61608)",""
"00:42:20.313","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28530)",""
"00:42:20.557","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28120)",""
"00:42:20.803","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59983)",""
"00:42:21.012","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28270)",""
"00:42:48.776","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28809)",""
"00:42:48.879","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 30228)",""
"00:42:49.109","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 30251)",""
"00:42:49.254","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62889)",""
"00:42:49.504","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28776)",""
"00:42:49.713","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61879)",""
"00:42:49.865","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29515)",""
"00:42:50.075","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29275)",""
"00:43:03.282","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27953)",""
"00:43:03.387","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27025)",""
"00:43:03.596","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 26713)",""
"00:43:03.803","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59082)",""
"00:43:04.003","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 57291)",""
"00:43:04.227","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27789)",""
"00:43:04.442","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58420)",""
"00:43:04.699","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28218)",""
"00:43:25.205","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59911)",""
"00:43:25.316","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28524)",""
"00:43:25.526","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28481)",""
"00:43:25.629","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59909)",""
"00:43:25.879","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29027)",""
"00:43:26.080","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60761)",""
"00:43:26.310","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29110)",""
"00:43:26.532","Blinkladen Arcane Missiles Training Dummy 1 27801",""
"00:43:39.684","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29577)",""
"00:43:39.783","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29650)",""
"00:43:40.026","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29290)",""
"00:43:40.227","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61902)",""
"00:43:40.382","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29589)",""
"00:43:40.622","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29528)",""
"00:43:40.809","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27967)",""
"00:43:40.935","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28852)",""
"00:43:54.323","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27968)",""
"00:43:54.456","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27330)",""
