"Time","Event",""
"00:00:05.717","Blinkladen Arcane Missiles Training Dummy 1 *62120*",""
"00:00:05.813","Blinkladen Arcane Missiles Training Dummy 1 *63738*",""
"00:00:06.049","Blinkladen Arcane Missiles Training Dummy 1 29909",""
"00:00:06.313","Blinkladen Arcane Missiles Training Dummy 1 29582",""
"00:00:06.451","Blinkladen Arcane Missiles Training Dummy 1 *62436*",""
"00:00:06.723","Blinkladen Arcane Missiles Training Dummy 1 28564",""
"00:00:06.930","Blinkladen Arcane Missiles Training Dummy 1 *62823*",""
"00:00:07.042","Blinkladen Arcane Missiles Training Dummy 1 *62469*",""
"00:00:34.855","Blinkladen Arcane Missiles Training Dummy 1 29752",""
"00:00:34.953","Blinkladen Arcane Missiles Training Dummy 1 29844",""
"00:00:35.243","Blinkladen Arcane Missiles Training Dummy 1 30674",""
"00:00:35.444","Blinkladen Arcane Missiles Training Dummy 1 30267",""
"00:00:35.655","Blinkladen Arcane Missiles Training Dummy 1 30039",""
"00:00:35.862","Blinkladen Arcane Missiles Training Dummy 1 30099",""
"00:00:36.042","Blinkladen Arcane Missiles Training Dummy 1 28872",""
"00:00:36.272","Blinkladen Arcane Missiles Training Dummy 1 *63465*",""
"00:00:56.771","Blinkladen Arcane Missiles Training Dummy 1 29396",""
"00:00:56.882","Blinkladen Arcane Missiles Training Dummy 1 29547",""
"00:00:57.083","Blinkladen Arcane Missiles Training Dummy 1 29085",""
"00:00:57.292","Blinkladen Arcane Missiles Training Dummy 1 29216",""
"00:00:57.494","Blinkladen Arcane Missiles Training Dummy 1 28996",""
"00:00:57.709","Blinkladen Arcane Missiles Training Dummy 1 *61464*",""
"00:00:57.911","Blinkladen Arcane Missiles Training Dummy 1 *60535*",""
"00:00:58.028","Blinkladen Arcane Missiles Training Dummy 1 28080",""
"00:01:18.598","Blinkladen Arcane Missiles Training Dummy 1 28566",""
"00:01:18.709","Blinkladen Arcane Missiles Training Dummy 1 28481",""
"00:01:18.871","Blinkladen Arcane Missiles Training Dummy 1 28104",""
"00:01:19.050","Blinkladen Arcane Missiles Training Dummy 1 *59537*",""
"00:01:19.264","Blinkladen Arcane Missiles Training Dummy 1 *60571*",""
"00:01:19.477","Blinkladen Arcane Missiles Training Dummy 1 *60611*",""
"00:01:19.742","Blinkladen Arcane Missiles Training Dummy 1 28863",""
"00:01:19.876","Blinkladen Arcane Missiles Training Dummy 1 29667",""
"00:01:40.472","Blinkladen Arcane Missiles Training Dummy 1 *60759*",""
"00:01:40.476","Blinkladen Arcane Missiles Training Dummy 1 29301",""
"00:01:40.668","Blinkladen Arcane Missiles Training Dummy 1 30138",""
"00:01:40.885","Blinkladen Arcane Missiles Training Dummy 1 *64030*",""
"00:01:41.050","Blinkladen Arcane Missiles Training Dummy 1 *62335*",""
"00:01:41.271","Blinkladen Arcane Missiles Training Dummy 1 29638",""
"00:01:41.507","Blinkladen Arcane Missiles Training Dummy 1 *63373*",""
"00:01:41.698","Blinkladen Arcane Missiles Training Dummy 1 *63334*",""
"00:01:55.029","Blinkladen Arcane Missiles Training Dummy 1 *65451*",""
"00:01:55.126","Blinkladen Arcane Missiles Training Dummy 1 30552",""
"00:01:55.326","Blinkladen Arcane Missiles Training Dummy 1 29569",""
"00:01:55.475","Blinkladen Arcane Missiles Training Dummy 1 30138",""
"00:01:55.669","Blinkladen Arcane Missiles Training Dummy 1 30116",""
"00:01:55.881","Blinkladen Arcane Missiles Training Dummy 1 28878",""
"00:01:56.146","Blinkladen Arcane Missiles Training Dummy 1 *63437*",""
"00:01:56.354","Blinkladen Arcane Missiles Training Dummy 1 29410",""
"00:02:02.319","Blinkladen Arcane Missiles Training Dummy 1 *64130*",""
"00:02:02.320","Blinkladen Arcane Missiles Training Dummy 1 29520",""
"00:02:02.556","Blinkladen Arcane Missiles Training Dummy 1 29533",""
"00:02:02.757","Blinkladen Arcane Missiles Training Dummy 1 31290",""
"00:02:02.871","Blinkladen Arcane Missiles Training Dummy 1 *64720*",""
"00:02:03.089","Blinkladen Arcane Missiles Training Dummy 1 *67231*",""
"00:02:03.354","Blinkladen Arcane Missiles Training Dummy 1 29949",""
"00:02:03.535","Blinkladen Arcane Missiles Training Dummy 1 *65190*",""
"00:02:24.139","Blinkladen Arcane Missiles Training Dummy 1 32250",""
"00:02:24.235","Blinkladen Arcane Missiles Training Dummy 1 32108",""
"00:02:24.379","Blinkladen Arcane Missiles Training Dummy 1 32835",""
"00:02:24.653","Blinkladen Arcane Missiles Training Dummy 1 *69513*",""
"00:02:24.816","Blinkladen Arcane Missiles Training Dummy 1 *69258*",""
"00:02:24.993","Blinkladen Arcane Missiles Training Dummy 1 *69088*",""
"00:02:25.264","Blinkladen Arcane Missiles Training Dummy 1 *68168*",""
"00:02:25.465","Blinkladen Arcane Missiles Training Dummy 1 31078",""
"00:02:45.986","Blinkladen Arcane Missiles Training Dummy 1 30160",""
"00:02:45.988","Blinkladen Arcane Missiles Training Dummy 1 28962",""
"00:02:46.216","Blinkladen Arcane Missiles Training Dummy 1 29534",""
"00:02:46.396","Blinkladen Arcane Missiles Training Dummy 1 29196",""
"00:02:46.633","Blinkladen Arcane Missiles Training Dummy 1 29289",""
"00:02:46.839","Blinkladen Arcane Missiles Training Dummy 1 29574",""
"00:02:47.035","Blinkladen Arcane Missiles Training Dummy 1 *61178*",""
"00:02:47.215","Blinkladen Arcane Missiles Training Dummy 1 29262",""
"00:03:00.555","Blinkladen Arcane Missiles Training Dummy 1 29297",""
"00:03:00.560","Blinkladen Arcane Missiles Training Dummy 1 29160",""
"00:03:00.806","Blinkladen Arcane Missiles Training Dummy 1 29512",""
"00:03:01.028","Blinkladen Arcane Missiles Training Dummy 1 29927",""
"00:03:01.139","Blinkladen Arcane Missiles Training Dummy 1 29032",""
"00:03:01.402","Blinkladen Arcane Missiles Training Dummy 1 29773",""
"00:03:01.570","Blinkladen Arcane Missiles Training Dummy 1 30148",""
"00:03:01.784","Blinkladen Arcane Missiles Training Dummy 1 *63263*",""
"00:03:07.797","Blinkladen Arcane Missiles Training Dummy 1 29069",""
"00:03:07.897","Blinkladen Arcane Missiles Training Dummy 1 28965",""
"00:03:08.117","Blinkladen Arcane Missiles Training Dummy 1 28411",""
"00:03:08.277","Blinkladen Arcane Missiles Training Dummy 1 *61029*",""
"00:03:08.465","Blinkladen Arcane Missiles Training Dummy 1 28032",""
"00:03:08.687","Blinkladen Arcane Missiles Training Dummy 1 27755",""
"00:03:08.867","Blinkladen Arcane Missiles Training Dummy 1 *60047*",""
"00:03:09.055","Blinkladen Arcane Missiles Training Dummy 1 29059",""
"00:03:15.048","Blinkladen Arcane Missiles Training Dummy 1 *65140*",""
"00:03:15.171","Blinkladen Arcane Missiles Training Dummy 1 29467",""
"00:03:15.361","Blinkladen Arcane Missiles Training Dummy 1 29913",""
"00:03:15.558","Blinkladen Arcane Missiles Training Dummy 1 29546",""
"00:03:15.743","Blinkladen Arcane Missiles Training Dummy 1 *64953*",""
"00:03:15.937","Blinkladen Arcane Missiles Training Dummy 1 *62493*",""
"00:03:16.159","Blinkladen Arcane Missiles Training Dummy 1 *64699*",""
"00:03:16.340","Blinkladen Arcane Missiles Training Dummy 1 29914",""
"00:03:44.159","Blinkladen Arcane Missiles Training Dummy 1 30192",""
"00:03:44.257","Blinkladen Arcane Missiles Training Dummy 1 30135",""
"00:03:44.555","Blinkladen Arcane Missiles Training Dummy 1 *66940*",""
"00:03:44.749","Blinkladen Arcane Missiles Training Dummy 1 29653",""
"00:03:44.965","Blinkladen Arcane Missiles Training Dummy 1 30225",""
