"Time","Event",""
"00:20:36.339","Blinkladen Arcane Missiles Training Dummy 1 *60688*",""
"00:20:36.340","Blinkladen Arcane Missiles Training Dummy 1 *60791*",""
"00:20:36.590","Blinkladen Arcane Missiles Training Dummy 1 29002",""
"00:20:36.729","Blinkladen Arcane Missiles Training Dummy 1 *61916*",""
"00:20:36.946","Blinkladen Arcane Missiles Training Dummy 1 *61399*",""
"00:20:37.187","Blinkladen Arcane Missiles Training Dummy 1 27855",""
"00:20:37.375","Blinkladen Arcane Missiles Training Dummy 1 28420",""
"00:20:37.569","Blinkladen Arcane Missiles Training Dummy 1 28467",""
"00:20:50.888","Blinkladen Arcane Missiles Training Dummy 1 28539",""
"00:20:50.985","Blinkladen Arcane Missiles Training Dummy 1 27517",""
"00:20:51.138","Blinkladen Arcane Missiles Training Dummy 1 27598",""
"00:20:51.318","Blinkladen Arcane Missiles Training Dummy 1 27974",""
"00:20:51.521","Blinkladen Arcane Missiles Training Dummy 1 27449",""
"00:20:51.735","Blinkladen Arcane Missiles Training Dummy 1 *60776*",""
"00:20:51.930","Blinkladen Arcane Missiles Training Dummy 1 *62143*",""
"00:20:52.040","Blinkladen Arcane Missiles Training Dummy 1 *60400*",""
"00:20:58.138","Blinkladen Arcane Missiles Training Dummy 1 27797",""
"00:20:58.236","Blinkladen Arcane Missiles Training Dummy 1 27453",""
"00:20:58.430","Blinkladen Arcane Missiles Training Dummy 1 27794",""
"00:20:58.652","Blinkladen Arcane Missiles Training Dummy 1 *57725*",""
"00:20:58.812","Blinkladen Arcane Missiles Training Dummy 1 26966",""
"00:20:59.013","Blinkladen Arcane Missiles Training Dummy 1 *57311*",""
"00:20:59.222","Blinkladen Arcane Missiles Training Dummy 1 27472",""
"00:20:59.409","Blinkladen Arcane Missiles Training Dummy 1 27238",""
"00:21:27.214","Blinkladen Arcane Missiles Training Dummy 1 29096",""
"00:21:27.312","Blinkladen Arcane Missiles Training Dummy 1 *62392*",""
"00:21:27.554","Blinkladen Arcane Missiles Training Dummy 1 29344",""
"00:21:27.804","Blinkladen Arcane Missiles Training Dummy 1 28007",""
"00:21:28.027","Blinkladen Arcane Missiles Training Dummy 1 28432",""
"00:21:28.228","Blinkladen Arcane Missiles Training Dummy 1 29097",""
"00:21:28.429","Blinkladen Arcane Missiles Training Dummy 1 28874",""
"00:21:28.582","Blinkladen Arcane Missiles Training Dummy 1 *59792*",""
"00:21:34.577","Blinkladen Arcane Missiles Training Dummy 1 29002",""
"00:21:34.687","Blinkladen Arcane Missiles Training Dummy 1 *63162*",""
"00:21:34.895","Blinkladen Arcane Missiles Training Dummy 1 28967",""
"00:21:35.028","Blinkladen Arcane Missiles Training Dummy 1 *63426*",""
"00:21:35.300","Blinkladen Arcane Missiles Training Dummy 1 29718",""
"00:21:35.513","Blinkladen Arcane Missiles Training Dummy 1 30176",""
"00:21:35.707","Blinkladen Arcane Missiles Training Dummy 1 *63017*",""
"00:21:35.916","Blinkladen Arcane Missiles Training Dummy 1 *63679*",""
"00:22:03.721","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29588)",""
"00:22:03.721","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29275)",""
"00:22:03.963","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28687)",""
"00:22:04.228","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29063)",""
"00:22:04.436","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62044)",""
"00:22:04.651","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 30059)",""
"00:22:04.811","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 64726)",""
"00:22:05.040","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62087)",""
"00:22:32.790","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28429)",""
"00:22:32.909","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28334)",""
"00:22:33.040","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28314)",""
"00:22:33.284","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28462)",""
"00:22:33.471","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28109)",""
"00:22:33.692","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29352)",""
"00:22:33.846","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28908)",""
"00:22:34.046","Blinkladen Arcane Missiles Training Dummy 1 28639",""
"00:22:47.386","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29292)",""
"00:22:47.387","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29516)",""
"00:22:47.645","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59569)",""
"00:22:47.832","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60745)",""
"00:22:48.048","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28891)",""
"00:22:48.157","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61891)",""
"00:22:48.429","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28695)",""
"00:22:48.540","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28929)",""
"00:22:54.679","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29194)",""
"00:22:54.776","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62959)",""
"00:22:54.944","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29364)",""
"00:22:55.151","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29842)",""
"00:22:55.313","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 63153)",""
