"Time","Event",""
"00:09:41.740","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29359)",""
"00:09:41.956","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29493)",""
"00:09:42.156","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62570)",""
"00:09:42.365","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29179)",""
"00:10:02.802","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61937)",""
"00:10:02.968","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29082)",""
"00:10:03.177","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29542)",""
"00:10:03.386","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29934)",""
"00:10:03.594","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 64096)",""
"00:10:03.692","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 30265)",""
"00:10:03.983","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 64085)",""
"00:10:04.197","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29162)",""
"00:10:10.149","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27750)",""
"00:10:10.246","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28025)",""
"00:10:10.468","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59881)",""
"00:10:10.586","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28181)",""
"00:10:10.799","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28129)",""
"00:10:11.038","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28336)",""
"00:10:11.274","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59967)",""
"00:10:11.476","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60848)",""
"00:10:17.414","Blinkladen Arcane Missiles Training Dummy 1 27596",""
"00:10:17.531","Blinkladen Arcane Missiles Training Dummy 1 27448",""
"00:10:17.692","Blinkladen Arcane Missiles Training Dummy 1 *59262*",""
"00:10:17.941","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58688)",""
"00:10:18.142","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27709)",""
"00:10:18.343","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59648)",""
"00:10:18.545","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59667)",""
"00:10:18.767","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 26763)",""
"00:10:31.906","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60911)",""
"00:10:32.010","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29156)",""
"00:10:32.301","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62067)",""
"00:10:32.510","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29712)",""
"00:10:32.705","Blinkladen Arcane Missiles Training Dummy 1 29018",""
"00:10:32.913","Blinkladen Arcane Missiles Training Dummy 1 *63934*",""
"00:10:33.024","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29302)",""
"00:10:33.329","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28864)",""
"00:10:46.455","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28150)",""
"00:10:46.558","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60240)",""
"00:10:46.850","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28012)",""
"00:10:47.018","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60537)",""
"00:10:47.260","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59647)",""
"00:10:47.378","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59950)",""
"00:10:47.677","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27483)",""
"00:10:47.878","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59660)",""
"00:11:01.031","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28079)",""
"00:11:01.135","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28049)",""
"00:11:01.372","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28243)",""
"00:11:01.620","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28859)",""
"00:11:01.837","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60760)",""
"00:11:02.032","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61392)",""
"00:11:02.238","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29001)",""
"00:11:02.347","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61207)",""
