"Time","Event",""
"01:05:15.849","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59503)",""
"01:05:16.050","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 57725)",""
"01:05:16.260","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27581)",""
"01:05:16.460","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58292)",""
"01:05:16.664","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28519)",""
"01:05:16.868","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28112)",""
"01:05:17.168","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28277)",""
"01:05:23.106","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62054)",""
"01:05:23.203","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28046)",""
"01:05:23.349","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29105)",""
"01:05:23.620","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62434)",""
"01:05:23.745","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27885)",""
"01:05:24.023","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27643)",""
"01:05:24.154","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59333)",""
"01:05:24.432","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27854)",""
"01:05:52.162","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60635)",""
"01:05:52.260","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28292)",""
"01:05:52.563","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28816)",""
"01:05:52.751","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28902)",""
"01:05:52.960","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61873)",""
"01:05:53.071","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59630)",""
"01:05:53.376","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62001)",""
"01:05:53.509","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28622)",""
