"Time","Event",""
"00:53:52.034","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59364)",""
"00:53:52.326","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27635)",""
"00:53:52.468","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59402)",""
"00:53:52.728","Blinkladen Arcane Missiles Training Dummy 1 27384",""
"00:53:58.694","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 64856)",""
"00:53:58.695","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 63020)",""
"00:53:58.985","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 64872)",""
"00:53:59.194","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29029)",""
"00:53:59.342","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29802)",""
"00:53:59.610","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29141)",""
"00:53:59.797","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 63545)",""
"00:54:00.020","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29464)",""
"00:54:13.174","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27390)",""
"00:54:13.277","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27665)",""
"00:54:13.555","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27514)",""
"00:54:13.756","Blinkladen Arcane Missiles Training Dummy 1 27492",""
"00:54:13.910","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27913)",""
"00:54:14.172","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27480)",""
"00:54:14.388","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28013)",""
"00:54:14.582","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 26856)",""
"00:54:20.427","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29535)",""
"00:54:20.528","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62200)",""
"00:54:20.798","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28673)",""
"00:54:21.027","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61529)",""
"00:54:21.236","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61364)",""
"00:54:21.430","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28327)",""
"00:54:21.646","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28424)",""
"00:54:21.791","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59585)",""
"00:54:35.083","Blinkladen Arcane Missiles Training Dummy 1 27676",""
"00:54:35.084","Blinkladen Arcane Missiles Training Dummy 1 28154",""
"00:54:35.333","Blinkladen Arcane Missiles Training Dummy 1 *59056*",""
"00:54:35.486","Blinkladen Arcane Missiles Training Dummy 1 28086",""
"00:54:35.717","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61163)",""
"00:54:35.862","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28966)",""
"00:54:36.118","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28933)",""
"00:54:36.242","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62068)",""
"00:55:04.201","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58134)",""
"00:55:04.202","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 26785)",""
"00:55:04.485","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27175)",""
"00:55:04.707","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27244)",""
"00:55:04.915","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28344)",""
"00:55:05.131","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28374)",""
"00:55:05.242","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28493)",""
"00:55:05.493","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27239)",""
"00:55:11.464","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60308)",""
"00:55:11.590","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62132)",""
"00:55:11.804","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28407)",""
"00:55:11.992","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28537)",""
"00:55:12.196","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27810)",""
"00:55:12.401","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27509)",""
"00:55:12.597","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58665)",""
"00:55:12.805","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58190)",""
"00:55:25.990","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60853)",""
"00:55:26.076","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60461)",""
"00:55:26.297","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59652)",""
"00:55:26.568","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29055)",""
"00:55:26.784","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29373)",""
"00:55:26.889","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29624)",""
"00:55:27.186","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29421)",""
"00:55:27.395","Blinkladen Arcane Missiles Training Dummy 1 *62547*",""
"00:55:40.596","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29638)",""
"00:55:40.720","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59668)",""
"00:55:40.929","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27767)",""
"00:55:41.130","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62467)",""
"00:55:41.332","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27846)",""
"00:55:41.485","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28237)",""
"00:55:41.749","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59785)",""
"00:55:41.937","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28108)",""
"00:55:47.888","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28961)",""
"00:55:47.985","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62694)",""
"00:55:48.207","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62136)",""
"00:55:48.353","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28906)",""
"00:55:48.603","Blinkladen Arcane Missiles Training Dummy 1 29745",""
"00:55:48.818","Blinkladen Arcane Missiles Training Dummy 1 28976",""
"00:55:49.026","Blinkladen Arcane Missiles Training Dummy 1 28870",""
"00:55:49.215","Blinkladen Arcane Missiles Training Dummy 1 29500",""
"00:55:55.096","Blinkladen Arcane Missiles Training Dummy 1 27959",""
"00:55:55.200","Blinkladen Arcane Missiles Training Dummy 1 27220",""
"00:55:55.444","Blinkladen Arcane Missiles Training Dummy 1 *59638*",""
"00:55:55.613","Blinkladen Arcane Missiles Training Dummy 1 28189",""
"00:55:55.901","Blinkladen Arcane Missiles Training Dummy 1 27791",""
"00:55:56.027","Blinkladen Arcane Missiles Training Dummy 1 28728",""
"00:55:56.242","Blinkladen Arcane Missiles Training Dummy 1 28483",""
"00:55:56.493","Blinkladen Arcane Missiles Training Dummy 1 *61346*",""
"00:56:02.450","Blinkladen Arcane Missiles Training Dummy 1 27655",""
"00:56:02.561","Blinkladen Arcane Missiles Training Dummy 1 27844",""
"00:56:02.772","Blinkladen Arcane Missiles Training Dummy 1 27552",""
"00:56:02.976","Blinkladen Arcane Missiles Training Dummy 1 27482",""
"00:56:03.083","Blinkladen Arcane Missiles Training Dummy 1 27467",""
"00:56:03.380","Blinkladen Arcane Missiles Training Dummy 1 *57386*",""
"00:56:03.589","Blinkladen Arcane Missiles Training Dummy 1 26894",""
"00:56:03.790","Blinkladen Arcane Missiles Training Dummy 1 26981",""
"00:56:24.228","Blinkladen Arcane Missiles Training Dummy 1 *59841*",""
"00:56:24.334","Blinkladen Arcane Missiles Training Dummy 1 *58330*",""
"00:56:24.568","Blinkladen Arcane Missiles Training Dummy 1 27442",""
"00:56:24.749","Blinkladen Arcane Missiles Training Dummy 1 28587",""
"00:56:24.943","Blinkladen Arcane Missiles Training Dummy 1 27529",""
"00:56:25.152","Blinkladen Arcane Missiles Training Dummy 1 *60052*",""
"00:56:25.289","Blinkladen Arcane Missiles Training Dummy 1 27661",""
"00:56:25.498","Blinkladen Arcane Missiles Training Dummy 1 28464",""
"00:56:38.873","Blinkladen Arcane Missiles Training Dummy 1 29911",""
"00:56:38.875","Blinkladen Arcane Missiles Training Dummy 1 *63526*",""
"00:56:39.103","Blinkladen Arcane Missiles Training Dummy 1 29603",""
"00:56:39.306","Blinkladen Arcane Missiles Training Dummy 1 29103",""
"00:56:39.492","Blinkladen Arcane Missiles Training Dummy 1 *64054*",""
"00:56:39.714","Blinkladen Arcane Missiles Training Dummy 1 28335",""
"00:56:39.811","Blinkladen Arcane Missiles Training Dummy 1 28484",""
"00:56:40.019","Blinkladen Arcane Missiles Training Dummy 1 *62420*",""
"00:57:00.707","Blinkladen Arcane Missiles Training Dummy 1 *63542*",""
"00:57:00.708","Blinkladen Arcane Missiles Training Dummy 1 28546",""
"00:57:00.936","Blinkladen Arcane Missiles Training Dummy 1 29525",""
"00:57:01.158","Blinkladen Arcane Missiles Training Dummy 1 29629",""
"00:57:01.359","Blinkladen Arcane Missiles Training Dummy 1 29347",""
"00:57:01.561","Blinkladen Arcane Missiles Training Dummy 1 29077",""
"00:57:01.762","Blinkladen Arcane Missiles Training Dummy 1 27868",""
"00:57:01.944","Blinkladen Arcane Missiles Training Dummy 1 28541",""
"00:57:07.909","Blinkladen Arcane Missiles Training Dummy 1 28290",""
"00:57:08.012","Blinkladen Arcane Missiles Training Dummy 1 28597",""
